SampleID	Species	Stand	Time	ECM	AM	Endophyte	Microsclerotia	Uncolonized
A201-T	T	A	7Months	0	1.030927835	50.51546392	11.34020619	48.45360825
A210-T	T	A	7Months	0	0	79.86577181	3.355704698	20.13422819
A215-T	T	A	7Months	0	7.777777778	80	8.888888889	12.22222222
A220-T	T	A	7Months	0	5.517241379	58.62068966	4.827586207	35.86206896
A235-T	T	A	7Months	2.105263158	10.52631579	55.78947368	3.157894737	31.57894737
A240-T	T	A	7Months	1.680672269	5.882352941	34.45378151	3.361344538	57.98319328
A245-T	T	A	7Months					
A250-T	T	A	7Months					
B305-T	T	B	7Months					
B310-T	T	B	7Months	4.95049505	0	74.25742574	19.8019802	20.79207921
B315-T	T	B	7Months	0	17.58241758	45.05494505	0	37.36263737
B320-T	T	B	7Months	1.886792453	12.26415094	46.22641509	1.886792453	39.62264152
B325-T	T	B	7Months					
B330-T	T	B	7Months	0	23.71134021	32.98969072	19.58762887	43.29896907
Control1-T	T	Control	7Months					
Control2-T	T	Control	7Months					
Control3-T	T	Control	7Months					
Control4-T	T	Control	7Months					
F405-T	T	F	7Months	0	7.070707071	70.70707071	0	22.22222222
F410-T	T	F	7Months	6.593406593	3.296703297	73.62637363	0	16.48351648
F420-T	T	F	7Months	0.740740741	2.962962963	80	2.962962963	16.2962963
F430-T	T	F	7Months	0	5.747126437	75.86206897	28.73563218	18.39080459
F435-T	T	F	7Months	4.511278195	0	87.21804511	3.007518797	8.270676695
F440-T	T	F	7Months	1.801801802	3.603603604	59.45945946	0	35.13513513
A201-A	A	A	7Months	1.162790698	0	22.09302326	9.302325581	76.74418604
A210-A	A	A	7Months					
A215-A	A	A	7Months	0	0	48.18181818	10	51.81818182
A220-A	A	A	7Months	2.43902439	0	86.99186992	32.5203252	10.56910569
A235-A	A	A	7Months					
A240-A	A	A	7Months	2.521008403	0	74.78991597	13.44537815	22.68907563
A245-A	A	A	7Months	3.571428571	0	76.78571429	17.85714286	19.64285714
A250-A	A	A	7Months	1.111111111	0	35.55555556	6.666666667	63.33333333
B305-A	A	B	7Months					
B310-A	A	B	7Months	14.5631068	0	66.99029126	38.83495146	18.44660194
B315-A	A	B	7Months					
B320-A	A	B	7Months	1.098901099	0	87.91208791	20.87912088	10.98901099
B325-A	A	B	7Months	5.64516129	0	87.09677419	2.419354839	7.25806452
B330-A	A	B	7Months	0	0	85.45454545	22.72727273	14.54545455
Control1-A	A	Control	7Months					
Control2-A	A	Control	7Months					
Control3-A	A	Control	7Months					
Control4-A	A	Control	7Months					
F405-A	A	F	7Months	4.054054054	0	55.40540541	2.702702703	40.54054054
F410-A	A	F	7Months	9.090909091	0	62.12121212	10.60606061	28.78787879
F420-A	A	F	7Months	29.86111111	0	68.75	1.388888889	1.38888889
F430-A	A	F	7Months	13.15789474	0	61.84210526	11.84210526	25
F435-A	A	F	7Months	1.754385965	0	76.31578947	0.877192982	21.92982457
F440-A	A	F	7Months	9.278350515	0	45.36082474	7.216494845	45.36082475
