SampleID	HarvestDate	Species	ArbusculeCount	VesicleCount	CoilCount	AMHyphaeCount	MicrosclerotiaCount	EndoHyphaeCount	ECMCount	UncolonizedCount	TotalCount	ArbusculeColonization	VesicleColonization	CoilColonization	AMHyphaeColonization	TotalAMColonization	MicrosclerotiaColonization	EndoHyphaeColonization	EndoColon	ECMColonization	UncolonizedColonization	Height
A201-A	Ja2021	A	0	0	0	0	1	40	58	3	102	0	0	0	0	0	0.980392157	39.21568627	40.19607843	56.8627451	2.941176471	139
A210-A	Ja2021	A	0	0	0	0	2	48	9	94	153	0	0	0	0	0	1.307189542	31.37254902	32.67973856	5.882352941	61.4379085	144
A215-A	Ja2021	A	0	0	0	0	1	42	51	1	95	0	0	0	0	0	1.052631579	44.21052632	45.26315789	53.68421053	1.052631579	89
A220-A	Ja2021	A	0	0	0	0	2	1	0	66	69	0	0	0	0	0	2.898550725	1.449275362	4.347826087	0	95.65217391	68
A235-A	Ja2021	A	0	0	0	0	0	19	80	5	104	0	0	0	0	0	0	18.26923077	18.26923077	76.92307692	4.807692308	69
A240-A	Ja2021	A	0	0	0	1	1	23	0	44	69	0	0	0	1.449275362	1.449275362	1.449275362	33.33333333	34.7826087	0	63.76811594	31
A245-A	Ja2021	A	0	0	0	4	2	30	37	63	136	0	0	0	2.941176471	2.941176471	1.470588235	22.05882353	23.52941176	27.20588235	46.32352941	79
A250-A	Ja2021	A	0	0	0	0	4	58	13	1	76	0	0	0	0	0	5.263157895	76.31578947	81.57894737	17.10526316	1.315789474	49
B305-A	Ja2021	A	0	0	0	0	2	23	51	16	92	0	0	0	0	0	2.173913043	25	27.17391304	55.43478261	17.39130435	103
B310-A	Ja2021	A	0	0	0	0	0	35	59	14	108	0	0	0	0	0	0	32.40740741	32.40740741	54.62962963	12.96296296	27
B315-A	Ja2021	A	0	0	0	0	23	32	1	78	134	0	0	0	0	0	17.1641791	23.88059701	41.04477612	0.746268657	58.20895522	37
B320-A	Ja2021	A	0	0	0	0	0	37	13	38	88	0	0	0	0	0	0	42.04545455	42.04545455	14.77272727	43.18181818	63
B325-A	Ja2021	A	0	0	0	0	1	46	7	61	115	0	0	0	0	0	0.869565217	40	40.86956522	6.086956522	53.04347826	87
B330-A	Ja2021	A	0	0	0	0	7	12	1	98	118	0	0	0	0	0	5.93220339	10.16949153	16.10169492	0.847457627	83.05084746	46
F405-A	Ja2021	A	0	0	0	0	3	47	47	14	111	0	0	0	0	0	2.702702703	42.34234234	45.04504505	42.34234234	12.61261261	137
F410-A	Ja2021	A	0	0	0	0	0	29	3	73	105	0	0	0	0	0	0	27.61904762	27.61904762	2.857142857	69.52380952	129
F420-A	Ja2021	A	0	0	0	0	7	12	0	61	80	0	0	0	0	0	8.75	15	23.75	0	76.25	25
F430-A	Ja2021	A	0	0	0	0	0	12	0	63	75	0	0	0	0	0	0	16	16	0	84	32
F435-A	Ja2021	A	0	0	0	0	4	95	18	28	145	0	0	0	0	0	2.75862069	65.51724138	68.27586207	12.4137931	19.31034483	122
F440-A	Ja2021	A	0	0	0	0	0	17	20	138	175	0	0	0	0	0	0	9.714285714	9.714285714	11.42857143	78.85714286	105
A201-T	Ja2021	T	0	0	0	0	1	46	2	30	79	0	0	0	0	0	1.265822785	58.2278481	59.49367089	2.53164557	37.97468354	153
A210-T	Ja2021	T	6	9	0	49	0	39	0	36	139	4.316546763	6.474820144	0	35.25179856	46.04316547	0	28.05755396	28.05755396	0	25.89928058	94
A215-T	Ja2021	T	13	32	1	39	0	3	0	20	108	12.03703704	29.62962963	0.925925926	36.11111111	78.7037037	0	2.777777778	2.777777778	0	18.51851852	151
A220-T	Ja2021	T	8	11	1	30	16	3	0	23	92	8.695652174	11.95652174	1.086956522	32.60869565	54.34782609	17.39130435	3.260869565	20.65217391	0	25	111
A240-T	Ja2021	T	6	31	1	23	0	26	3	3	93	6.451612903	33.33333333	1.075268817	24.7311828	65.59139785	0	27.95698925	27.95698925	3.225806452	3.225806452	99
A245-T	Ja2021	T	0	0	0	0	0	61	30	20	111	0	0	0	0	0	0	54.95495495	54.95495495	27.02702703	18.01801802	163
A250-T	Ja2021	T	1	9	0	10	0	23	3	25	71	1.408450704	12.67605634	0	14.08450704	28.16901408	0	32.3943662	32.3943662	4.225352113	35.21126761	171
B305-T	Ja2021	T	4	7	1	17	1	55	8	20	113	3.539823009	6.194690265	0.884955752	15.04424779	25.66371681	0.884955752	48.67256637	49.55752212	7.079646018	17.69911504	138
B310-T	Ja2021	T	0	0	0	0	2	31	38	43	114	0	0	0	0	0	1.754385965	27.19298246	28.94736842	33.33333333	37.71929825	150
B315-T	Ja2021	T	1	0	0	19	0	2	6	96	124	0.806451613	0	0	15.32258065	16.12903226	0	1.612903226	1.612903226	4.838709677	77.41935484	159
B320-T	Ja2021	T	7	29	0	43	0	66	2	20	167	4.191616766	17.36526946	0	25.74850299	47.30538922	0	39.52095808	39.52095808	1.19760479	11.9760479	155
B330-T	Ja2021	T	4	5	0	53	2	5	1	34	104	3.846153846	4.807692308	0	50.96153846	59.61538462	1.923076923	4.807692308	6.730769231	0.961538462	32.69230769	178
F405-T	Ja2021	T	0	32	0	41	0	0	0	8	81	0	39.50617284	0	50.61728395	90.12345679	0	0	0	0	9.87654321	120
F410-T	Ja2021	T	0	0	0	0	0	0	73	0	73	0	0	0	0	0	0	0	0	100	0	127
F420-T	Ja2021	T	8	63	0	13	0	0	1	2	87	9.195402299	72.4137931	0	14.94252874	96.55172414	0	0	0	1.149425287	2.298850575	161
F430-T	Ja2021	T	5	13	0	16	0	49	12	16	111	4.504504505	11.71171171	0	14.41441441	30.63063063	0	44.14414414	44.14414414	10.81081081	14.41441441	158
F435-T	Ja2021	T	0	0	0	0	0	0	66	0	66	0	0	0	0	0	0	0	0	100	0	101
F440-T	Ja2021	T	9	17	0	45	0	4	0	19	94	9.574468085	18.08510638	0	47.87234043	75.53191489	0	4.255319149	4.255319149	0	20.21276596	141
A201-T	Ju2020	T	0	0	0	1	11	38	0	47	97	0	0	0	1.030927835	1.030927835	11.34020619	39.17525773	50.51546392	0	48.45360825	41
A210-T	Ju2020	T	0	0	0	0	5	114	0	30	149	0	0	0	0	0	3.355704698	76.51006711	79.86577181	0	20.13422819	18
A215-T	Ju2020	T	0	0	0	7	8	64	0	11	90	0	0	0	7.777777778	7.777777778	8.888888889	71.11111111	80	0	12.22222222	23
A220-T	Ju2020	T	0	2	0	6	7	78	0	52	145	0	1.379310345	0	4.137931034	5.517241379	4.827586207	53.79310345	58.62068966	0	35.86206897	44
A235-T	Ju2020	T	0	1	2	7	3	50	2	30	95	0	1.052631579	2.105263158	7.368421053	10.52631579	3.157894737	52.63157895	55.78947368	2.105263158	31.57894737	44
A240-T	Ju2020	T	3	0	1	3	4	37	2	69	119	2.521008403	0	0.840336134	2.521008403	5.882352941	3.361344538	31.09243697	34.45378151	1.680672269	57.98319328	30
B310-T	Ju2020	T	0	0	0	0	20	55	5	21	101	0	0	0	0	0	19.8019802	54.45544554	74.25742574	4.95049505	20.79207921	59
B315-T	Ju2020	T	1	3	1	11	0	41	0	34	91	1.098901099	3.296703297	1.098901099	12.08791209	17.58241758	0	45.05494505	45.05494505	0	37.36263736	41
B320-T	Ju2020	T	1	0	1	11	2	47	2	42	106	0.943396226	0	0.943396226	10.37735849	12.26415094	1.886792453	44.33962264	46.22641509	1.886792453	39.62264151	41
B330-T	Ju2020	T	5	3	3	12	19	13	0	42	97	5.154639175	3.092783505	3.092783505	12.37113402	23.71134021	19.58762887	13.40206186	32.98969072	0	43.29896907	48
F405-T	Ju2020	T	1	0	1	5	0	70	0	22	99	1.01010101	0	1.01010101	5.050505051	7.070707071	0	70.70707071	70.70707071	0	22.22222222	48
F410-T	Ju2020	T	0	0	0	3	0	67	6	15	91	0	0	0	3.296703297	3.296703297	0	73.62637363	73.62637363	6.593406593	16.48351648	38
F420-T	Ju2020	T	0	0	1	3	4	104	1	22	135	0	0	0.740740741	2.222222222	2.962962963	2.962962963	77.03703704	80	0.740740741	16.2962963	39
F430-T	Ju2020	T	2	0	0	3	25	41	0	16	87	2.298850575	0	0	3.448275862	5.747126437	28.73563218	47.12643678	75.86206897	0	18.3908046	29
F435-T	Ju2020	T	0	0	0	0	4	112	6	11	133	0	0	0	0	0	3.007518797	84.21052632	87.21804511	4.511278195	8.270676692	36
F440-T	Ju2020	T	0	0	3	1	0	66	2	39	111	0	0	2.702702703	0.900900901	3.603603604	0	59.45945946	59.45945946	1.801801802	35.13513514	32
A201-A	Ju2020	A	0	0	0	0	8	11	1	66	86	0	0	0	0	0	9.302325581	12.79069767	22.09302326	1.162790698	76.74418605	34
A215-A	Ju2020	A	0	0	0	0	11	42	0	57	110	0	0	0	0	0	10	38.18181818	48.18181818	0	51.81818182	27
A220-A	Ju2020	A	0	0	0	0	40	67	3	13	123	0	0	0	0	0	32.5203252	54.47154472	86.99186992	2.43902439	10.56910569	24
A240-A	Ju2020	A	0	0	0	0	16	73	3	27	119	0	0	0	0	0	13.44537815	61.34453782	74.78991597	2.521008403	22.68907563	33
A245-A	Ju2020	A	0	0	0	0	10	33	2	11	56	0	0	0	0	0	17.85714286	58.92857143	76.78571429	3.571428571	19.64285714	23
A250-A	Ju2020	A	0	0	0	0	6	26	1	57	90	0	0	0	0	0	6.666666667	28.88888889	35.55555556	1.111111111	63.33333333	18
B310-A	Ju2020	A	0	0	0	0	40	29	15	19	103	0	0	0	0	0	38.83495146	28.15533981	66.99029126	14.5631068	18.44660194	26
B320-A	Ju2020	A	0	0	0	0	19	61	1	10	91	0	0	0	0	0	20.87912088	67.03296703	87.91208791	1.098901099	10.98901099	30
B325-A	Ju2020	A	0	0	0	0	3	105	7	9	124	0	0	0	0	0	2.419354839	84.67741935	87.09677419	5.64516129	7.258064516	30
B330-A	Ju2020	A	0	0	0	0	25	69	0	16	110	0	0	0	0	0	22.72727273	62.72727273	85.45454545	0	14.54545455	15
F405-A	Ju2020	A	0	0	0	0	2	39	3	30	74	0	0	0	0	0	2.702702703	52.7027027	55.40540541	4.054054054	40.54054054	30
F410-A	Ju2020	A	0	0	0	0	7	34	6	19	66	0	0	0	0	0	10.60606061	51.51515152	62.12121212	9.090909091	28.78787879	23
F420-A	Ju2020	A	0	0	0	0	2	97	43	2	144	0	0	0	0	0	1.388888889	67.36111111	68.75	29.86111111	1.388888889	29
F430-A	Ju2020	A	0	0	0	0	9	38	10	19	76	0	0	0	0	0	11.84210526	50	61.84210526	13.15789474	25	32
F435-A	Ju2020	A	0	0	0	0	1	86	2	25	114	0	0	0	0	0	0.877192982	75.43859649	76.31578947	1.754385965	21.92982456	31
F440-A	Ju2020	A	0	0	0	0	7	37	9	44	97	0	0	0	0	0	7.216494845	38.1443299	45.36082474	9.278350515	45.36082474	16
Control1-T	Ju2020	T																				29
Control2-T	Ju2020	T																				39
Control3-T	Ju2020	T																				36
Control4-T	Ju2020	T																				31
Control1-A	Ju2020	A																				20
Control2-A	Ju2020	A																				34
Control3-A	Ju2020	A																				25
Control4-A	Ju2020	A																				41
Control1-A	Ja2021	A																				19
Control2-A	Ja2021	A																				32
Control3-A	Ja2021	A																				25
Control4-A	Ja2021	A																				125
Control1-T	Ja2021	T																				171
Control2-T	Ja2021	T																				133
Control3-T	Ja2021	T																				173
Control4-T	Ja2021	T																				169
