Feature ID	Taxon	Consensus
003b10f9460c683bd9127ea6db592a01	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe	1.0
00932d6d749580b6cb8750a5099e7493	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Tulasnellaceae; g__Tulasnella; s__calospora	0.556
00c9a31859beba543c0bbeac804c24fd	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	0.8
00d5ec5cce95aac79016e7f33b6b934a	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
0114948ee5ba0a787813fd7f8519c5b0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma	1.0
012aee53620be4cc8a854b7935d44d0b	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Cephalobidae; g__Acrobeloides	0.7
01657fa94341bfac3ebb55692eddf5ed	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales	0.8
01b7b51f16e5710a6deae37e8eab414b	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	1.0
02968cf022a75d4eee5466830f257264	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Gloniales; f__Gloniaceae; g__Cenococcum; s__geophilum	0.6
02c14bd1caa75437660993f188d70686	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	1.0
0317af4a6f9ed4c9730e24d6a4294617	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
032e93b22641b8b7e3084d60438c4bb5	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae; g__Diaporthe	0.8
038a4e34ac8967fdc407dc4fcb607e4f	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Morosphaeriaceae; g__Aquilomyces; s__patris	0.6
039d526c2760cdb7836b5675c4e7e359	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidium	0.6
03bdf5e3de6c1aab73774c4bcc175098	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Morosphaeriaceae; g__Aquilomyces; s__patris	0.6
044f09da3174fab521f9096ecb69577d	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria	0.6
04523713d24ca30244d173252b2af966	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Lasionectria	0.9
04b6fae43277c0df004727fe9705571f	k__Eukaryota; p__Tubulinea; c__Echinamoebida; o__Echinamoebida; f__Echinamoebida; g__Vermamoeba; s__vermiformis	1.0
05224df851f97ef24ca2958de61e7f62	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Aphelenchoididae; g__Schistonchus; s__sp. 5068	1.0
058ee97d34935ac194daa5ed5d714249	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus	0.8
05cfe915f647a442633c36c44098603c	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	1.0
05d37c7013c8458d33f7fb4c0739aaba	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales	0.6
05e70ac51e14e33b2f505e03ac7a5db1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidium	0.6
061e9b4afdd26a4b178d6c585bbeeeab	k__Fungi; p__Basidiomycota; c__Microbotryomycetes	0.6
06de204c4c16d6ab1502abf428dc5c0f	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	0.9
07331984bc88711933739e2b68cec290	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae; g__Diaporthe	0.8
0809317ead6347e6c9d9759b0c7a976a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.7
083d18b7b1678c9366db9e15f8826e39	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Auriculariaceae; g__Auricularia; s__brasiliana	0.6
0884719e2aaa57160c1a150287b01a8c	Unassigned	1.0
089a9bebdd602f52af6e7e4e0a60329f	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta	0.9
08c0147667700fa555e9f8c8dba8b727	Unassigned	1.0
08cc8c69a788528d363cbc41e99e546e	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Trichophaea	0.7
09182a7121c337d57d67bccc0af0d9e4	k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Ranunculales; f__Papaveraceae; g__Papaver; s__somniferum	1.0
097f44b77bd7c1cd62464c2b180be259	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.8
09fc7eb3df2bc0ee9fd20a992dbcb60f	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Gloniales; f__Gloniaceae; g__Cenococcum; s__geophilum	0.6
0a300d319efe91f837d13d693cc55c83	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae	1.0
0a657f2474c36db7cc1d0d98f4036243	Unassigned	1.0
0b2e738ff4d69ab44a9cb1d50ddb50e9	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.8
0b732ee3a36f964aa4244479eae64ddb	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Alnicola	0.6
0ca63d55542f26e0aa87196ff797bf49	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidium	0.8
0d394d2e5f8d7062274d19300fc395f5	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__Sistotrema	0.9
0d6a588ce30b8a39822bd10f307076fe	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae	1.0
0d7052cd2cef5b1d3c73a366d1f475d7	Unassigned	1.0
0da1404c9a063d04fa710190601623e0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria	0.6
0dbfb5c859eeb5c7871e34f4425c0fbe	Unassigned	1.0
0e9716ab89a46174c6474648b7118ba2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria	0.7
10b06cd0752ef9dc18a1cf3882ca400b	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Tulasnellaceae; g__Tulasnella	1.0
10c411f26b4c6b6518eef62c43ed49ac	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Alnicola	0.6
10ce25ef096447b5f7e7ce07d8a673eb	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Agaricus	0.6
11204577b6f73530feccbda6cd4a0acf	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cyphobasidiales; f__Cyphobasidiaceae; g__Cyphobasidium; s__hypogymniicola	1.0
1170b06965f5ccdcbef17cea525dfa4e	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
11db08dbba023cc571a5a8d7a9c8c725	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae	1.0
12043a3306d90eacdc0c16e5e6f1063a	Unassigned	1.0
120d005b555d54fc4fde2e83cb0f8025	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus	0.6
128e7eb95fb4c926619d1c45a486c053	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Mycenaceae; g__Mycena	1.0
12c03d5e57f8653d28d7496200dfeba0	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
12f49c79b3b8f036236a9e64b689397b	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma	1.0
13036f382de65620f39b3654d3d91cab	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.6
1315202ba9a26c3e48f2d2bf1d1e6201	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.8
134c71bc25df836c5b67fa10cfed9698	Unassigned	1.0
135bde9d8dd164d55b44faae81970b0a	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria	0.7
13971ade7501c9d5a81d2e53591418da	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; g__Terfezia	0.6
140cc06e06a81d3a07aec9723e251b12	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Mycenaceae; g__Mycena	1.0
151f0b7d809dfc4794f92f542cf31090	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
1587d66e5f7a439529cd8bbcaf1ac6d8	k__Fungi; p__Ascomycota; c__Ascomycota; o__Ascomycota; f__Ascomycota; g__Ascomycota	0.6
159d9ee478a64dcaaf0add88a8ee97cf	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Lasionectria	0.9
16002d2487e2d6a8667c35622adf9855	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; g__Coleophoma	0.7
166a3e531d991ebc59f7e2e672ab24b3	k__Fungi; p__Mucoromycota; c__Umbelopsidomycetes; o__Umbelopsidales; f__Umbelopsidaceae; g__Umbelopsis	1.0
16ad4b690d31d1e35ef39b4018694906	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae; g__Diaporthe	0.8
16adf4fa0cabb6400cf5b1e7e0e4dd76	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae	0.7
16d50885d12479580b45e972a996c58b	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Tuberaceae; g__Tuber	1.0
16f9f8d63bff748cbc845c051fcc7813	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Curvularia	1.0
171aa09cb38bc8e92433eff4963eb2ee	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta	0.9
175c1a556d1edeaf2a93f684927735aa	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae	1.0
17ede06495561557eaf7f8a733491ca2	k__Metazoa; p__Tardigrada; c__Eutardigrada; o__Parachela; f__Hypsibiidae	1.0
1892198aafed2ec9a85903b4f24667df	k__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Leishmania	0.6
190994a3fdc64f30a34834beacc38ad4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola	0.6
192d64d562a7264a2bb2bd733038d206	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales; g__Polyphilus	0.6
196a993ae186ec65369d3a44f162f1e2	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
197741b5f854a474d628d5769e479bce	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
199e5fa7de4dffc5aca74ad43219d7c6	k__Fungi; p__Ascomycota; c__Ascomycota; o__Ascomycota; f__Ascomycota; g__Ascomycota	0.6
19d3ebeba13c02a2b904f01ba5525665	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae	0.9
19e9bb9f995c91e63d07b9acba0ffc2b	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
1a1dcb4ec1b5b1f297bbd149cf39b71a	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Gloniales; f__Gloniaceae; g__Cenococcum; s__geophilum	0.6
1a2164dc56fd2925606c5b3042a6df5d	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Trichophaea	0.7
1a7d6744a9398c84926f2d3023610c27	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales	0.8
1a89aefae5e7498bd8b18695827720f4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Diatrypaceae	0.9
1a96070eee7e7112e21e01ea4334109c	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Aphelenchoididae; g__Schistonchus; s__sp. 5068	1.0
1a9b0a1e0b09fb6fbb9085c0cb9d9b6e	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae	1.0
1aa8e197183cf9e6221d2591258dc83b	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Helvellaceae; g__Helvella	1.0
1aab13568f6190333a4686ef88fd37a9	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Alnicola	0.6
1adadbcb21122208570365d115a0923d	k__Eukaryota; p__Cercozoa; c__Cercozoa; o__Cercozoa; f__Cercozoa; g__Gymnophrys; s__sp. ATCC 50923	1.0
1b07901a510b06c201a03dc9187ed2d1	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma; s__terricola	0.8
