otu	EditedTaxonomy
13971ade7501c9d5a81d2e53591418da	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae
0884719e2aaa57160c1a150287b01a8c	k__Metazoa; p__Nematoda
08c0147667700fa555e9f8c8dba8b727	k__Metazoa; p__Nematoda
0b732ee3a36f964aa4244479eae64ddb	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
0d7052cd2cef5b1d3c73a366d1f475d7	k__Metazoa; p__Nematoda
0dbfb5c859eeb5c7871e34f4425c0fbe	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales
10c411f26b4c6b6518eef62c43ed49ac	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
10ce25ef096447b5f7e7ce07d8a673eb	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae; g__Flagelloscypha
134c71bc25df836c5b67fa10cfed9698	k__Metazoa; p__Nematoda
1587d66e5f7a439529cd8bbcaf1ac6d8	k__Fungi; p__Ascomycota
1a7d6744a9398c84926f2d3023610c27	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus
1aab13568f6190333a4686ef88fd37a9	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
1bb25279721b311f0ee90f1f182ad378	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
21dab00d5366add634575cd33773c96d	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus
2275b7d9a891021eed682fec5bd64313	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae;g__Sphaerosporella
2477b632471d9176b920e6fe36ff2490	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae
262c86e51d796f6abbbb47b80acfb900	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
2cb7d2516e6670f3acb384d22e2c4035	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae
2e6c2b8df73c39d6ab1ecf2347074136	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus
301f7c3ce2ba82becfe2ebaa5a036d9f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae; g__Flagelloscypha
30aedec632770e512359cbacc169e454	Unassigned
310f5d6d2a426eb0b95dce607ce10d37	k__Metazoa; p__Nematoda
31b9b6718cc4466da7dcefa833e52dfe	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
33e55bcee034a3fa57a98a200ea9628f	k__Fungi; p__Ascomycota;o__Saccharomycetes
37d3ad915b49ec58237667afa2c08fdc	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae
384dea5a250a127057b4690cf3297e17	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales
3b34d413f02e91c0c7f1b9769bdac803	k__Metazoa; p__Nematoda
4140aeee70dc75a082468652f4086d16	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
4ed1a6f5b225ad2c46632c090c7e66ea	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
6c87faf124a2b1d7d2bd882481d5e77e	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
81f342da6da6d7d50c4ba1b2ce57b536	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
94db6b853af82d624c2008765b96b539	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
e6a0c242fd81e22db4f4e437de5c208d	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
e93cf99a7025821a6a003e672dcbfa43	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae
f2c33e3e01e0f7b01e2e94c709925daa	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
f77707e75fb5b9719d8fcdac34faaec0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae
f862ed9973d5767b9a416e87a9dfa1f1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hebeloma
